Distance (mm)	Counts
0.0	83.0
0.4	64.0
0.8	96.0
1.2	85.0
1.6	83.0
2.0	87.0
2.4	97.0
2.8	105.0
3.2	113.0
3.6	128.0
4.0	132.0
4.4	115.0
4.8	134.0
5.2	124.0
5.6	124.0
6.0	144.0
6.4	180.0
6.8	178.0
7.2	209.0
7.6	222.0
8.0	200.0
8.4	225.0
8.8	252.0
9.2	249.0
9.6	310.0
10.0	319.0
10.4	321.0
10.8	376.0
11.2	398.0
11.6	510.0
12.0	707.0
12.4	1000.0
12.8	1181.0
13.2	1458.0
13.6	1548.0
14.0	1621.0
14.4	1494.0
14.8	1253.0
15.2	1111.0
15.6	843.0
16.0	688.0
16.4	502.0
16.8	395.0
17.2	331.0
17.6	352.0
18.0	316.0
18.4	309.0
18.8	290.0
19.2	297.0
19.6	245.0
20.0	252.0
20.4	230.0
20.8	227.0
21.2	208.0
21.6	210.0
22.0	185.0
22.4	153.0
22.8	143.0
23.2	144.0
23.6	129.0
24.0	114.0
24.4	132.0
24.8	111.0
25.2	81.0
25.6	92.0
26.0	106.0
26.4	102.0
26.8	89.0
27.2	89.0
27.6	92.0
28.0	77.0
28.4	81.0
28.8	73.0
29.2	88.0
29.6	66.0
30.0	76.0
