Distance (mm)	Counts
0.0	93.0
0.2	95.0
0.4	97.0
0.6	75.0
0.8	90.0
1.0	86.0
1.2	99.0
1.4	98.0
1.6	93.0
1.8	104.0
2.0	119.0
2.2	115.0
2.4	110.0
2.6	105.0
2.8	92.0
3.0	95.0
3.2	87.0
3.4	103.0
3.6	119.0
3.8	114.0
4.0	103.0
4.2	113.0
4.4	102.0
4.6	110.0
4.8	85.0
5.0	115.0
5.2	117.0
5.4	108.0
5.6	102.0
5.8	110.0
6.0	88.0
6.2	126.0
6.4	133.0
6.6	109.0
6.8	124.0
7.0	112.0
7.2	114.0
7.4	114.0
7.6	136.0
7.8	140.0
8.0	119.0
8.2	122.0
8.4	131.0
8.6	120.0
8.8	121.0
9.0	117.0
9.2	138.0
9.4	136.0
9.6	119.0
9.8	139.0
10.0	126.0
10.2	119.0
10.4	149.0
10.6	119.0
10.8	103.0
11.0	135.0
11.2	112.0
11.4	151.0
11.6	140.0
11.8	147.0
12.0	136.0
12.2	135.0
12.4	155.0
12.6	170.0
12.8	128.0
13.0	130.0
13.2	121.0
13.4	111.0
13.6	115.0
13.8	127.0
14.0	127.0
14.2	120.0
14.4	124.0
14.6	118.0
14.8	130.0
15.0	144.0
15.2	121.0
15.4	134.0
15.6	162.0
15.8	133.0
16.0	124.0
16.2	129.0
16.4	133.0
16.6	130.0
16.8	109.0
17.0	126.0
17.2	128.0
17.4	119.0
17.6	117.0
17.8	130.0
18.0	107.0
18.2	131.0
18.4	124.0
18.6	121.0
18.8	111.0
19.0	117.0
19.2	119.0
19.4	130.0
19.6	125.0
19.8	93.0
20.0	104.0
