Distance (mm)	Counts
0.0	91.0
0.2	97.0
0.4	88.0
0.6	91.0
0.8	84.0
1.0	81.0
1.2	89.0
1.4	94.0
1.6	93.0
1.8	92.0
2.0	94.0
2.2	82.0
2.4	82.0
2.6	103.0
2.8	100.0
3.0	98.0
3.2	106.0
3.4	129.0
3.6	97.0
3.8	102.0
4.0	115.0
4.2	120.0
4.4	105.0
4.6	104.0
4.8	87.0
5.0	102.0
5.2	121.0
5.4	104.0
5.6	106.0
5.8	114.0
6.0	107.0
6.2	119.0
6.4	111.0
6.6	125.0
6.8	121.0
7.0	99.0
7.2	129.0
7.4	122.0
7.6	94.0
7.8	120.0
8.0	117.0
8.2	113.0
8.4	97.0
8.6	121.0
8.8	113.0
9.0	115.0
9.2	133.0
9.4	139.0
9.6	139.0
9.8	107.0
10.0	135.0
10.2	120.0
10.4	145.0
10.6	138.0
10.8	119.0
11.0	120.0
11.2	115.0
11.4	129.0
11.6	113.0
11.8	138.0
12.0	131.0
12.2	146.0
12.4	147.0
12.6	131.0
12.8	122.0
13.0	110.0
13.2	139.0
13.4	120.0
13.6	136.0
13.8	121.0
14.0	131.0
14.2	144.0
14.4	119.0
14.6	111.0
14.8	137.0
15.0	142.0
15.2	127.0
15.4	128.0
15.6	117.0
15.8	133.0
16.0	98.0
16.2	128.0
16.4	122.0
16.6	124.0
16.8	119.0
17.0	131.0
17.2	107.0
17.4	118.0
17.6	118.0
17.8	111.0
18.0	126.0
18.2	120.0
18.4	115.0
18.6	119.0
18.8	125.0
19.0	113.0
19.2	120.0
19.4	122.0
19.6	122.0
19.8	107.0
20.0	112.0
