Distance (mm)	Counts
0.0	152.0
0.2	145.0
0.4	141.0
0.6	152.0
0.8	160.0
1.0	169.0
1.2	158.0
1.4	193.0
1.6	197.0
1.8	187.0
2.0	208.0
2.2	210.0
2.4	183.0
2.6	220.0
2.8	200.0
3.0	208.0
3.2	206.0
3.4	231.0
3.6	244.0
3.8	247.0
4.0	249.0
4.2	265.0
4.4	236.0
4.6	271.0
4.8	271.0
5.0	260.0
5.2	280.0
5.4	312.0
5.6	279.0
5.8	329.0
6.0	299.0
6.2	325.0
6.4	391.0
6.6	428.0
6.8	441.0
7.0	551.0
7.2	618.0
7.4	725.0
7.6	872.0
7.8	907.0
8.0	997.0
8.2	1011.0
8.4	977.0
8.6	896.0
8.8	896.0
9.0	748.0
9.2	685.0
9.4	567.0
9.6	524.0
9.8	504.0
10.0	451.0
10.2	435.0
10.4	476.0
10.6	420.0
10.8	421.0
11.0	408.0
11.2	424.0
11.4	442.0
11.6	422.0
11.8	480.0
12.0	471.0
12.2	553.0
12.4	573.0
12.6	717.0
12.8	773.0
13.0	828.0
13.2	927.0
13.4	1046.0
13.6	1046.0
13.8	977.0
14.0	905.0
14.2	866.0
14.4	696.0
14.6	654.0
14.8	571.0
15.0	486.0
15.2	421.0
15.4	400.0
15.6	369.0
15.8	349.0
16.0	301.0
16.2	327.0
16.4	334.0
16.6	285.0
16.8	263.0
17.0	275.0
17.2	277.0
17.4	271.0
17.6	268.0
17.8	253.0
18.0	259.0
18.2	230.0
18.4	263.0
18.6	224.0
18.8	228.0
19.0	250.0
19.2	235.0
19.4	206.0
19.6	218.0
19.8	210.0
20.0	207.0
