Distance (mm)	Counts
0.0	246.0
0.2	224.0
0.4	228.0
0.6	241.0
0.8	294.0
1.0	260.0
1.2	253.0
1.4	257.0
1.6	277.0
1.8	294.0
2.0	291.0
2.2	243.0
2.4	306.0
2.6	309.0
2.8	352.0
3.0	335.0
3.2	361.0
3.4	367.0
3.6	411.0
3.8	385.0
4.0	392.0
4.2	457.0
4.4	415.0
4.6	449.0
4.8	453.0
5.0	531.0
5.2	553.0
5.4	484.0
5.6	554.0
5.8	587.0
6.0	534.0
6.2	669.0
6.4	615.0
6.6	629.0
6.8	692.0
7.0	666.0
7.2	705.0
7.4	712.0
7.6	681.0
7.8	751.0
8.0	804.0
8.2	860.0
8.4	903.0
8.6	885.0
8.8	901.0
9.0	1118.0
9.2	1244.0
9.4	1416.0
9.6	1633.0
9.8	1827.0
10.0	2059.0
10.2	2229.0
10.4	2495.0
10.6	2766.0
10.8	2829.0
11.0	3032.0
11.2	3239.0
11.4	3424.0
11.6	3494.0
11.8	3434.0
12.0	3453.0
12.2	3361.0
12.4	3270.0
12.6	3056.0
12.8	2897.0
13.0	2730.0
13.2	2511.0
13.4	2359.0
13.6	2067.0
13.8	1961.0
14.0	1684.0
14.2	1514.0
14.4	1282.0
14.6	1148.0
14.8	1037.0
15.0	888.0
15.2	900.0
15.4	835.0
15.6	817.0
15.8	790.0
16.0	773.0
16.2	792.0
16.4	723.0
16.6	737.0
16.8	735.0
17.0	738.0
17.2	735.0
17.4	639.0
17.6	624.0
17.8	654.0
18.0	634.0
18.2	575.0
18.4	556.0
18.6	585.0
18.8	531.0
19.0	502.0
19.2	483.0
19.4	424.0
19.6	478.0
19.8	462.0
20.0	435.0
