Distance (mm)	Counts
0.0	268.0
0.2	305.0
0.4	287.0
0.6	312.0
0.8	354.0
1.0	360.0
1.2	342.0
1.4	370.0
1.6	385.0
1.8	359.0
2.0	406.0
2.2	400.0
2.4	394.0
2.6	431.0
2.8	441.0
3.0	441.0
3.2	455.0
3.4	472.0
3.6	504.0
3.8	559.0
4.0	559.0
4.2	572.0
4.4	532.0
4.6	561.0
4.8	612.0
5.0	620.0
5.2	666.0
5.4	759.0
5.6	899.0
5.8	947.0
6.0	1118.0
6.2	1232.0
6.4	1327.0
6.6	1509.0
6.8	1531.0
7.0	1648.0
7.2	1739.0
7.4	1820.0
7.6	1900.0
7.8	1937.0
8.0	2003.0
8.2	1922.0
8.4	1945.0
8.6	1884.0
8.8	1810.0
9.0	1644.0
9.2	1579.0
9.4	1492.0
9.6	1506.0
9.8	1352.0
10.0	1358.0
10.2	1367.0
10.4	1316.0
10.6	1308.0
10.8	1351.0
11.0	1348.0
11.2	1481.0
11.4	1452.0
11.6	1633.0
11.8	1693.0
12.0	1773.0
12.2	1868.0
12.4	1816.0
12.6	1972.0
12.8	1988.0
13.0	1945.0
13.2	1988.0
13.4	1843.0
13.6	1815.0
13.8	1704.0
14.0	1600.0
14.2	1468.0
14.4	1417.0
14.6	1274.0
14.8	1229.0
15.0	1095.0
15.2	1019.0
15.4	867.0
15.6	748.0
15.8	695.0
16.0	692.0
16.2	645.0
16.4	596.0
16.6	580.0
16.8	594.0
17.0	545.0
17.2	547.0
17.4	461.0
17.6	537.0
17.8	489.0
18.0	421.0
18.2	489.0
18.4	457.0
18.6	426.0
18.8	449.0
19.0	431.0
19.2	424.0
19.4	395.0
19.6	361.0
19.8	364.0
20.0	336.0
