Distance (mm)	Counts
0.0	252.0
0.2	300.0
0.4	286.0
0.6	299.0
0.8	271.0
1.0	300.0
1.2	293.0
1.4	315.0
1.6	333.0
1.8	317.0
2.0	307.0
2.2	339.0
2.4	387.0
2.6	374.0
2.8	369.0
3.0	383.0
3.2	392.0
3.4	439.0
3.6	438.0
3.8	408.0
4.0	441.0
4.2	469.0
4.4	462.0
4.6	505.0
4.8	461.0
5.0	560.0
5.2	566.0
5.4	587.0
5.6	682.0
5.8	816.0
6.0	890.0
6.2	986.0
6.4	1107.0
6.6	1191.0
6.8	1315.0
7.0	1408.0
7.2	1545.0
7.4	1597.0
7.6	1723.0
7.8	1820.0
8.0	1815.0
8.2	1824.0
8.4	1782.0
8.6	1768.0
8.8	1795.0
9.0	1681.0
9.2	1594.0
9.4	1513.0
9.6	1389.0
9.8	1328.0
10.0	1302.0
10.2	1215.0
10.4	1164.0
10.6	1090.0
10.8	1073.0
11.0	1024.0
11.2	998.0
11.4	1058.0
11.6	1120.0
11.8	1211.0
12.0	1347.0
12.2	1424.0
12.4	1495.0
12.6	1606.0
12.8	1627.0
13.0	1750.0
13.2	1859.0
13.4	1844.0
13.6	1984.0
13.8	1933.0
14.0	1856.0
14.2	1815.0
14.4	1726.0
14.6	1617.0
14.8	1604.0
15.0	1449.0
15.2	1389.0
15.4	1274.0
15.6	1183.0
15.8	1028.0
16.0	943.0
16.2	836.0
16.4	762.0
16.6	684.0
16.8	683.0
17.0	635.0
17.2	551.0
17.4	519.0
17.6	519.0
17.8	571.0
18.0	495.0
18.2	457.0
18.4	460.0
18.6	475.0
18.8	486.0
19.0	474.0
19.2	433.0
19.4	418.0
19.6	426.0
19.8	411.0
20.0	380.0
